Dataset Atlas Type Value
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9153642918263697
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9155148396555134
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8573466703095994
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.881379656272759
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9373803835431128
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7893641511946369
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8789220324869486
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.88211780590652
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8767985963265329
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9062277769545296
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8239899277971378
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8991428819445336
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8543921853557361
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8620056990971632
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8850403728473055
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9253342455968225
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8762891497790172
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8787426086264131
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8642179756255609
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8930840238798305
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.8735693719917819
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.9191611927548111
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.920259288464975
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7483949676225033
SWU4 Desikan_space-MNI152NLin6_res-2x2x2 Ipsi 0.7884780774597104
